downloadId,eulaCode,url,downloadEntity,entityType
367953555,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20220921_20221002_02_QA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NTUsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJFZHWGYzdm1Fcy5HQUtycjRRUmtDclRxWmszOHhXSUZtaThOdXpkdE5JaTUifQ==,LC08_CU_028006_20220921_20221002_02,QA
367953556,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20220921_20221002_02_MTL&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NTYsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJEg1TDgwNDVwcjdybVRCVlJ1TVlJRW1ObGV4ZlwvcEZjR2JncllmeEFTWG42In0=,LC08_CU_028006_20220921_20221002_02,MTL
367953557,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20220921_20221002_02_SR&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NTcsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHl5RHYuazdCV0k1dno1bEMxV2xGMWN5b0lDU21XbFlONXBqdDZwbDNMRTEifQ==,LC08_CU_028006_20220921_20221002_02,SR
367953558,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20220921_20221002_02_ST&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NTgsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGRJaDdWaDFRRVVISGYub1N2dVRBQm03cjRTN0hBbVVyWmpqVUZ6TFpibFwvIn0=,LC08_CU_028006_20220921_20221002_02,ST
367953559,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20220921_20221002_02_TOA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NTksImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHNQYWszWU1ZUUU3Sm5FQkI2TElNNnJxNWVPWVNQdWdVSTFpaS5vRVA4bTQifQ==,LC08_CU_028006_20220921_20221002_02,TOA
367953560,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20220921_20221002_02_BT&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NjAsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJEhhN2FpazJaVzkuSlEyRXMyQUlDUzVVUG9sTzhGZHdUYTZMUzBrcUU1V0IifQ==,LC08_CU_028006_20220921_20221002_02,BT
367953561,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20221108_20221118_02_QA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NjEsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGk3T3Bsc3lhNTRLZ1BqeVVYNTlmRUl6UWlrMGNlRFBEYjJKWUhuSjFNeEMifQ==,LC08_CU_028006_20221108_20221118_02,QA
367953562,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20221108_20221118_02_MTL&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NjIsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJG9KcWRlWXk5TkdyVzRMdWZBOFV5dUdzTVMzc21OWEFmWk9NNXVuckJZS0MifQ==,LC08_CU_028006_20221108_20221118_02,MTL
367953563,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20221108_20221118_02_SR&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NjMsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJDVIekttME1TSlZwUFlYTVNZZkluNWxwdERkLjUzVWlGRFJobzh0QXdkMUMifQ==,LC08_CU_028006_20221108_20221118_02,SR
367953564,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20221108_20221118_02_ST&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NjQsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJFNxdU42OEV0VmllUGxpaW5aLjROczNqXC9ISHUwY21GZFFtQ2NmQnl6dGMxIn0=,LC08_CU_028006_20221108_20221118_02,ST
367953565,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20221108_20221118_02_TOA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NjUsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGhiTktlQWowb1BRWVk4MVhXWmV5RzlBb1RDWkhBdy5mN3RrYTVhamtyUDIifQ==,LC08_CU_028006_20221108_20221118_02,TOA
367953566,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20221108_20221118_02_BT&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NjYsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJDk1UkNRMWtjNHkwSmRcL0loTzF0M3lLZ2tOTHFLcWJvQXBvcDh5NW9TXC9RMCJ9,LC08_CU_028006_20221108_20221118_02,BT
367953567,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_028006_20221210_20221223_02_QA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5NTM1NjcsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDEzOjI0OjQ4LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHZWWXZRQVd6a1wvXC90cjhnaktZTlZ1MXNUYS44YXkuVEVGYmRrZmtkZ0RXOSJ9,LC08_CU_028006_20221210_20221223_02,QA
