"PUMA","GeoID","Name"
"3710",1,"Mott Haven/Hunts Point"
"3705",2,"Morrisania/East Tremont"
"3708",3,"Highbridge/South Concourse"
"3707",4,"University Heights/Fordham"
"3706",5,"Kingsbridge Heights/Mosholu"
"3701",6,"Riverdale/Kingsbridge"
"3709",7,"Soundview/Parkchester"
"3703",8,"Throgs Neck/Co-op City"
"3704",9,"Pelham Parkway"
"3702",10,"Williamsbridge/Baychester"
"4001",11,"Williamsburg/Greenpoint"
"4004",12,"Brooklyn Heights/Fort Greene"
"4003",13,"Bedford Stuyvesant"
"4002",14,"Bushwick"
"4008",15,"East New York/Starret City"
"4005",16,"Park Slope/Carroll Gardens"
"4012",17,"Sunset Park"
"4006",18,"N. Crown Heights/Prospect Heights"
"4011",19,"South Crown Heights"
"4013",20,"Bay Ridge"
"4017",21,"Bensonhurst"
"4014",22,"Borough Park"
"4018",23,"Coney Island"
"4015",24,"Flatbush"
"4016",25,"Sheepshead Bay/Gravesend"
"4007",26,"Brownsville/Ocean Hill"
"4010",27,"East Flatbush"
"4009",28,"Flatlands/Canarsie"
"3810",29,"Greenwich Village/Financial District"
"3809",30,"Lower East Side/Chinatown"
"3807",31,"Chelsea/Clinton/Midtown"
"3808",32,"Stuyvesant Town/Turtle Bay"
"3806",33,"Upper West Side"
"3805",34,"Upper East Side"
"3802",35,"Morningside Heights/Hamilton Heights"
"3803",36,"Central Harlem"
"3804",37,"East Harlem"
"3801",38,"Washington Heights/Inwood"
"4101",39,"Astoria"
"4109",40,"Sunnyside/Woodside"
"4102",41,"Jackson Heights"
"4107",42,"Elmhurst/Corona"
"4110",43,"Middle Village/Ridgewood"
"4108",44,"Forest Hills/Rego Park"
"4103",45,"Flushing/Whitestone"
"4106",46,"Hillcrest/Fresh Meadows"
"4111",47,"Kew Gardens/Woodhaven"
"4113",48,"Howard Beach/South Ozone Park"
"4104",49,"Bayside/Little Neck"
"4112",50,"Jamaica"
"4105",51,"Bellerose/Rosedale"
"4114",52,"Rockaways"
"3903",53,"North Shore"
"3902",54,"Mid Island"
"3901",55,"South Shore"
